19.82;6.65313;1507.08;;;
20.79;6.65438;1492.25;;;
19.42;6.66;1502.51;;;
18.46;6.66;1494.50;;;
18.40;6.66;1489.26;;;
18.59;6.66;1481.99;;;
18.32;6.66;1484.91;;;
18.26;6.66;1480.87;;;
18.52;6.66;1465.81;;;
20.25;6.66;1444.51;;;
19.54;6.65875;1459.90;;;
19.93;6.66;1451.34;;;
20.18;6.66;1449.05;;;
20.74;6.66;1448.72;;;
21.41;6.66;1439.03;;;
21.88;6.66;1427.21;;;
21.67;6.66;1426.57;;;
19.47;6.815;1458.29;;;
20.57;6.81125;1436.51;;;
21.23;6.80438;1436.23;;;
21.85;6.8025;1426.46;;;
21.54;6.8025;1434.32;;;
21.03;6.8025;1436.28;;;
22.71;6.8025;1408.99;;;
24.02;6.8;1402.03;;;
24.86;6.80188;1387.02;;;
26.57;6.79875;1364.59;;;
30.51;6.79813;1329.78;;;
27.60;6.77063;1374.17;;;
26.79;6.77375;1374.62;;;
27.84;6.77;1349.97;;;
28.72;6.76;1342.13;;;
25.09;6.76;1388.76;;;
24.24;6.76125;1396.93;;;
24.69;6.76;1395.78;;;
24.28;6.76;1398.13;;;
26.65;6.76;1364.90;;;
28.62;6.75875;1364.44;;;
26.47;6.7575;1379.58;;;
25.46;6.75875;1398.66;;;
23.63;6.76;1429.40;;;
24.28;6.75875;1421.22;;;
23.92;6.75125;1428.32;;;
23.67;6.75063;1426.69;;;
24.52;6.75375;1432.19;;;
24.91;6.75813;1431.87;;;
25.66;6.75938;1409.28;;;
27.20;6.76;1400.14;;;
28.53;6.76;1365.98;;;
29.06;6.75938;1351.26;;;
26.81;6.75813;1382.95;;;
26.15;6.7575;1389.81;;;
25.05;6.75875;1372.32;;;
24.81;6.75063;1367.72;;;
27.43;6.75313;1342.62;;;
26.62;6.75063;1347.35;;;
27.71;6.75063;1322.36;;;
26.00;6.74875;1341.77;;;
26.93;6.74875;1348.97;;;
27.64;6.74875;1336.09;;;
27.49;6.73625;1341.93;;;
29.65;6.715;1314.95;;;
27.48;6.68625;1315.23;;;
27.78;6.68375;1324.97;;;
24.99;6.6775;1376.54;;;
25.07;6.6175;1351.46;;;
25.34;6.5775;1343.55;;;
22.41;6.57;1369.89;;;
23.51;6.58;1380.20;;;
24.88;6.58;1371.18;;;
23.63;6.58;1359.99;;;
24.86;6.5475;1340.93;;;
26.55;6.54938;1312.15;;;
27.70;6.53625;1322.74;;;
27.17;6.52;1305.60;;;
31.74;6.5;1264.74;;;
29.66;6.46375;1274.86;;;
27.55;6.45;1305.95;;;
28.73;6.45;1315.19;;;
28.14;6.43813;1328.92;;;
26.57;6.40125;1334.22;;;
26.85;6.39875;1320.28;;;
29.99;6.37125;1283.27;;;
26.60;6.28625;1347.56;;;
26.97;5.86625;1333.34;;;
28.67;5.695;1298.35;;;
29.84;5.61625;1295.86;;;
27.99;5.62375;1300.80;;;
26.80;5.65;1313.27;;;
25.79;5.67625;1326.82;;;
24.56;5.67875;1318.55;;;
25.28;5.73875;1326.65;;;
24.93;5.73875;1329.47;;;
23.37;5.64875;1347.97;;;
23.24;5.61125;1342.54;;;
23.25;5.58125;1342.90;;;
21.57;5.5725;1360.40;;;
22.03;5.61;1364.30;;;
22.64;5.5975;1357.51;;;
22.57;5.5675;1354.95;;;
22.61;5.5425;1364.17;;;
22.57;5.525;1373.73;;;
22.02;5.42125;1366.01;;;
21.66;5.39;1373.47;;;
21.95;5.3975;1349.47;;;
22.19;5.41;1354.31;;;
21.98;5.41;1352.26;;;
21.67;5.41;1340.89;;;
21.46;5.40875;1332.53;;;
22.03;5.41;1314.76;;;
21.92;5.3875;1330.31;;;
21.37;5.38875;1318.80;;;
21.52;5.4;1315.92;;;
20.27;5.4125;1326.61;;;
22.12;5.41;1301.53;;;
24.69;5.38;1278.94;;;
25.75;5.37;1255.27;;;
26.76;5.345;1252.82;;;
27.21;5.3;1245.86;;;
25.43;5.19375;1267.65;;;
26.49;5.10375;1257.94;;;
28.35;5.0525;1239.94;;;
28.08;5.08875;1241.23;;;
27.43;5.0825;1234.18;;;
27.12;5.08;1241.41;;;
25.89;5.09;1253.80;;;
24.12;5.07375;1261.89;;;
24.29;5.06;1264.74;;;
25.62;5.04;1233.42;;;
30.32;5.0575;1180.16;;;
27.55;5.03375;1197.66;;;
29.61;5.02;1166.71;;;
28.56;4.9425;1173.56;;;
29.91;4.9;1150.53;;;
29.78;4.88;1170.81;;;
30.96;4.88625;1142.62;;;
31.93;4.87;1122.14;;;
32.84;4.85625;1117.58;;;
30.45;4.86;1139.83;;;
29.04;4.86875;1152.69;;;
27.04;4.86;1182.17;;;
28.58;4.9025;1153.29;;;
29.17;4.87625;1147.95;;;
28.64;4.87875;1160.33;;;
31.21;4.84;1145.87;;;
34.72;4.84625;1106.46;;;
34.07;4.81;1103.25;;;
29.94;4.80375;1151.44;;;
31.69;4.80625;1128.43;;;
31.91;4.74125;1137.59;;;
29.44;4.74;1168.38;;;
28.46;4.76;1165.89;;;
26.12;4.77875;1183.50;;;
26.33;4.77875;1179.68;;;
25.61;4.80875;1191.81;;;
24.13;4.8275;1238.16;;;
24.16;4.41;1253.69;;;
25.38;4.4175;1242.98;;;
28.16;4.38375;1224.36;;;
28.49;4.36;1209.47;;;
27.40;4.34;1228.75;;;
25.96;4.34;1234.52;;;
24.02;4.31375;1253.05;;;
25.48;4.33625;1249.46;;;
24.20;4.34;1266.44;;;
24.23;4.3075;1267.43;;;
25.78;4.29875;1248.58;;;
23.91;4.27;1266.61;;;
24.86;4.27;1263.51;;;
24.44;4.09875;1261.20;;;
24.35;4.085;1255.54;;;
24.00;4.06;1255.18;;;
23.54;4.07;1245.67;;;
24.26;4.12125;1248.92;;;
23.71;4.10313;1249.44;;;
21.89;4.03;1284.99;;;
21.47;4.04;1288.49;;;
21.23;4.055;1291.96;;;
20.76;4.07625;1312.83;;;
21.35;4.075;1309.38;;;
22.08;4.07;1289.05;;;
20.57;4.05625;1293.17;;;
20.60;4.03;1277.89;;;
22.14;4;1267.93;;;
22.76;4;1248.08;;;
22.64;3.99;1255.82;;;
21.59;3.9425;1260.67;;;
21.38;3.94;1267.11;;;
19.58;3.94;1283.57;;;
20.39;3.9275;1270.03;;;
19.67;3.91813;1276.96;;;
19.92;3.91563;1264.96;;;
20.70;3.91;1254.39;;;
20.70;3.89875;1255.85;;;
21.45;3.89;1241.60;;;
23.12;3.8775;1219.87;;;
22.81;3.85125;1214.36;;;
23.17;3.78688;1208.43;;;
22.34;3.7575;1212.58;;;
21.71;3.75;1223.14;;;
19.38;3.73875;1237.04;;;
20.02;3.73;1225.35;;;
20.67;3.705;1218.60;;;
21.20;3.7;1216.76;;;
20.88;3.71;1211.07;;;
20.01;3.79;1226.20;;;
19.06;3.83625;1224.38;;;
18.76;3.83;1236.72;;;
18.92;3.82;1234.45;;;
20.09;3.82;1219.24;;;
21.63;3.81;1190.59;;;
22.48;3.79;1198.78;;;
23.25;3.79;1181.52;;;
24.01;3.76;1180.18;;;
22.09;3.77;1208.14;;;
21.14;3.75875;1215.68;;;
22.91;3.76;1202.45;;;
22.61;3.76;1214.44;;;
23.60;3.76;1207.71;;;
22.51;3.71;1215.02;;;
22.34;3.70875;1210.85;;;
23.74;3.7;1191.03;;;
25.24;3.7;1171.65;;;
24.00;3.7;1190.49;;;
23.01;3.705;1202.93;;;
22.00;3.69625;1205.82;;;
22.69;3.67875;1204.52;;;
21.62;3.67;1211.23;;;
20.56;3.65625;1215.93;;;
20.09;3.65;1220.75;;;
19.89;3.65625;1214.35;;;
21.89;3.65;1200.48;;;
21.01;3.64375;1204.40;;;
22.32;3.6375;1183.53;;;
21.75;3.595;1183.43;;;
20.55;3.58875;1190.16;;;
20.42;3.57;1191.29;;;
20.48;3.56;1186.73;;;
20.91;3.56;1178.02;;;
21.54;3.56125;1181.66;;;
23.84;3.5475;1161.97;;;
22.87;3.52875;1171.41;;;
24.40;3.5275;1157.26;;;
22.44;3.5125;1165.31;;;
22.23;3.5125;1162.09;;;
19.71;3.5175;1184.93;;;
20.56;3.5175;1179.21;;;
22.00;3.525;1161.51;;;
23.03;3.5;1148.56;;;
25.41;3.49;1129.03;;;
24.92;3.4625;1133.58;;;
25.85;3.46625;1132.94;;;
26.35;3.52;1131.74;;;
28.61;3.52;1106.40;;;
30.99;3.48625;1085.78;;;
31.84;3.36;1092.54;;;
41.76;3.11;1038.77;;;
38.87;2.965;1032.74;;;
40.56;2.78313;1016.10;;;
43.74;2.6025;984.54;;;
42.66;2.615;965.80;;;
37.75;2.6;1003.45;;;
35.81;2.6;1012.27;;;
